Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Shoe size (product.metafields.shopify.shoe-size),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-vanity-set,The Vanity Set,<p>The Vanity Set represents the pinnacle of specialized storage engineering for personal care implements. This comprehensive system features meticulously calibrated compartmentalization with optimal spatial allocation for diverse product typologies. The proprietary structural architecture incorporates specialized barrier technology to prevent cross-contamination while maintaining accessibility. Strategic reinforcement at high-stress junctures ensures exceptional durability during frequent access cycles. The specialized material composition delivers superior resistance to moisture and chemical exposure commonly encountered in personal care environments. The precision-engineered closure mechanisms provide secure containment with minimal operational resistance. Designed for discerning individuals who require technical excellence in organizational systems for specialized grooming and cosmetic applications.</p>,mitulpcirkle,Luggage & Bags > Cosmetic & Toiletry Bags,"",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,98,deny,manual,5999.00,9999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/237_VanitySet_ConfettiMicrocheck_45DegreeSmall_7054.jpg?v=1732685129,1,"",false,,,,,,kg,,,active
the-vanity-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/237_VanitySet_ConfettiMicrocheck_Front_4418.jpg?v=1732685129,2,"",,,,,,,,,,
the-vanity-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/237_VanitySet_ConfettiMicrocheck_Side_6893.jpg?v=1732685129,3,"",,,,,,,,,,
the-vanity-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/237_VanitySet_ConfettiMicrocheck_45DegreeLarge_7043.jpg?v=1732685129,4,"",,,,,,,,,,
the-petite-classic-tote,The Petite Classic Tote,<p>The Petite Classic Tote exemplifies dimensional optimization in everyday carry solutions. Engineered with a precisely calibrated scaling algorithm that maintains proportional integrity while reducing overall volume. The specialized structural framework incorporates strategic reinforcement at critical stress points to ensure exceptional durability despite its reduced dimensions. The proprietary material composition delivers superior tensile strength with optimal weight distribution characteristics. The anatomically considered handle design incorporates biomechanical principles to enhance comfort during extended carrying. The interior architecture features a meticulously calculated compartmentalization system that maximizes organizational efficiency within constrained spatial parameters. Designed for discerning individuals who require technical excellence in compact accessories without compromising functional utility.</p>,mitulpcirkle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Shopper Bags","",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,2999.00,4999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/171_PetiteClassicTote_CherryMicrocheck_Front_4395.jpg?v=1732685046,1,"",false,,,,,,kg,,,active
the-petite-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/171_PetiteClassicTote_CherryMicrocheck_Macro_8623.jpg?v=1732685046,2,"",,,,,,,,,,
the-petite-classic-tote,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/171_PetiteClassicTote_CherryMicrocheck_Overhead_89328.jpg?v=1732685046,3,"",,,,,,,,,,
the-party-pouch,The Party Pouch,<p>The Party Pouch represents advanced engineering in specialized occasion accessories. Featuring a meticulously calibrated dimensional profile that accommodates essential items while maintaining a streamlined silhouette. The proprietary closure mechanism ensures secure containment with minimal operational resistance. Strategic reinforcement at high-stress junctures provides exceptional durability despite its compact form factor. The specialized material composition delivers superior tensile strength with optimal light-reflective properties for enhanced visibility in low-illumination environments. The anatomically considered strap design incorporates biomechanical principles to ensure stability during dynamic movement. Designed for discerning individuals requiring technical excellence in evening accessories without compromising functional utility or aesthetic sophistication.</p>,mitulpcirkle,Luggage & Bags > Luggage Accessories,"",bags,true,Title,Default Title,,,,,,,,"",0.0,shopify,100,deny,manual,4999.00,6999.00,true,true,"",https://cdn.shopify.com/s/files/1/0766/3953/5391/files/165_ThePartyPouch_DiamondSparkle_Overhead.jpg?v=1732685002,1,"",false,,,,,,kg,,,active
the-party-pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/165_ThePartyPouch_DiamondSparkle_Zipper_1.jpg?v=1732685002,2,"",,,,,,,,,,
the-party-pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/3953/5391/files/165_ThePartyPouch_DiamondSparkle_Zipper.jpg?v=1732685002,3,"",,,,,,,,,,
